rikishi1,odds1,rikishi2,odds2,ts
Kisenosato,1.33,Mitakeumi,3.32,2017-07-08 08:45:04
Nishikigi,2.11,Kotoyuki,1.73,2017-07-08 08:45:04
Sadanoumi,2.38,Sokokurai,1.58,2017-07-08 08:45:04
Shodai,3.96,Kakuryu,1.25,2017-07-08 08:45:04
Takanoiwa,1.57,Onosho,2.4,2017-07-08 08:45:04
Takarafuji,1.63,Takekaze,2.28,2017-07-08 08:45:04
Takayasu,1.35,Hokutofuji,3.2,2017-07-08 08:45:04
Tamawashi,1.4,Ikioi,2.96,2017-07-08 08:45:04
Terunofuji,1.4,Takakeisho,2.96,2017-07-08 08:45:04
Tokushoryu,2.11,Ishiura,1.73,2017-07-08 08:45:04
Ura,2.21,Endo,1.66666666666667,2017-07-08 08:45:04
Yoshikaze,2.96,Harumafuji,1.4,2017-07-08 08:45:04
Arawashi,2.38,Daishomaru,1.58,2017-07-08 08:50:02
Chiyonokuni,2.56,Shohozan,1.51,2017-07-08 08:50:02
Chiyoshoma,1.9,Kagayaki,1.9,2017-07-08 08:50:02
Chiyotairyu,1.68,Okinoumi,2.19,2017-07-08 08:50:02
Hakuho,1.1,Kotoshogiku,7,2017-07-08 08:50:02
Ichinojo,2.41,Tochiozan,1.57,2017-07-08 08:50:02
Kisenosato,1.33,Mitakeumi,3.32,2017-07-08 08:50:02
Nishikigi,2.11,Kotoyuki,1.73,2017-07-08 08:50:02
Sadanoumi,2.38,Sokokurai,1.58,2017-07-08 08:50:02
Shodai,3.96,Kakuryu,1.25,2017-07-08 08:50:02
Takanoiwa,1.57,Onosho,2.4,2017-07-08 08:50:02
Takarafuji,1.63,Takekaze,2.28,2017-07-08 08:50:02
Takayasu,1.35,Hokutofuji,3.2,2017-07-08 08:50:02
